 1 Barreau:1983ht             0
 2 O'Connell:1987ag           0
 3 Sealock:1989nx             0
 4 Baran:1988tw               0
 5 Bagdasaryan:1988hp         0
 6 Zeller:1973ge              0
 7 Arrington:1995hs           0
 8 Day:1993md                 0
# 9 Arrington:1998psnoCC       0
10 xemc                       1
11 Whitney:1974hr             0
12 YaLIJan05                  0
13 VaheJun07                  1
 0 end
  29  64  3.1160 74.9828  2.3864  0.7131E+01  0.2663E+00  13
  29  64  3.1160 74.9828  2.3926  0.7846E+01  0.2620E+00  13
  29  64  3.1160 74.9828  2.3987  0.8479E+01  0.2667E+00  13
  29  64  3.1160 74.9828  2.4049  0.8485E+01  0.2693E+00  13
  29  64  3.1160 74.9828  2.4111  0.9435E+01  0.2855E+00  13
  29  64  3.1160 74.9828  2.4172  0.9957E+01  0.2934E+00  13
  29  64  3.1160 74.9828  2.4234  0.1012E+02  0.2971E+00  13
  29  64  3.1160 74.9828  2.4295  0.1108E+02  0.3127E+00  13
  29  64  3.1160 74.9828  2.4357  0.1132E+02  0.3154E+00  13
  29  64  3.1160 74.9828  2.4419  0.1186E+02  0.3260E+00  13
  29  64  3.1160 74.9828  2.4480  0.1339E+02  0.3475E+00  13
  29  64  3.1160 74.9828  2.4542  0.1369E+02  0.3522E+00  13
  29  64  3.1160 74.9828  2.4603  0.1410E+02  0.3581E+00  13
  29  64  3.1160 74.9828  2.4665  0.1437E+02  0.3640E+00  13
  29  64  3.1160 74.9828  2.4727  0.1629E+02  0.3903E+00  13
  29  64  3.1160 74.9828  2.4788  0.1678E+02  0.4168E+00  13
  29  64  3.1160 74.9828  2.4850  0.1718E+02  0.4535E+00  13
  29  64  3.1160 74.9828  2.4911  0.1852E+02  0.5492E+00  13
  29  64  3.1160 74.9828  2.2756  0.2519E+01  0.1693E+00  13
  29  64  3.1160 74.9828  2.2817  0.2534E+01  0.1563E+00  13
  29  64  3.1160 74.9828  2.2879  0.2829E+01  0.1575E+00  13
  29  64  3.1160 74.9828  2.2940  0.2943E+01  0.1597E+00  13
  29  64  3.1160 74.9828  2.3002  0.3174E+01  0.1665E+00  13
  29  64  3.1160 74.9828  2.3064  0.3259E+01  0.1678E+00  13
  29  64  3.1160 74.9828  2.3125  0.3303E+01  0.1695E+00  13
  29  64  3.1160 74.9828  2.3187  0.3857E+01  0.1840E+00  13
  29  64  3.1160 74.9828  2.3248  0.4320E+01  0.1958E+00  13
  29  64  3.1160 74.9828  2.3310  0.4573E+01  0.2017E+00  13
  29  64  3.1160 74.9828  2.3372  0.4741E+01  0.2063E+00  13
  29  64  3.1160 74.9828  2.3433  0.4947E+01  0.2110E+00  13
  29  64  3.1160 74.9828  2.3495  0.5409E+01  0.2206E+00  13
  29  64  3.1160 74.9828  2.3556  0.5184E+01  0.2161E+00  13
  29  64  3.1160 74.9828  2.3618  0.6065E+01  0.2341E+00  13
  29  64  3.1160 74.9828  2.3680  0.6186E+01  0.2367E+00  13
  29  64  3.1160 74.9828  2.3741  0.6636E+01  0.2460E+00  13
  29  64  3.1160 74.9828  2.3803  0.7194E+01  0.2552E+00  13
  29  64  3.1160 74.9828  2.3864  0.7430E+01  0.2754E+00  13
  29  64  3.1160 74.9828  2.3926  0.8068E+01  0.3088E+00  13
  29  64  3.1160 74.9828  2.3987  0.8636E+01  0.3768E+00  13
  29  64  3.1160 74.9828  2.2756  0.2385E+01  0.1786E+00  13
  29  64  3.1160 74.9828  2.2817  0.2791E+01  0.1761E+00  13
  29  64  3.1160 74.9828  2.2879  0.2709E+01  0.1663E+00  13
  29  64  3.1160 74.9828  2.2940  0.2811E+01  0.1682E+00  13
  29  64  3.1160 74.9828  2.3002  0.3279E+01  0.1796E+00  13
  29  64  3.1160 74.9828  2.3064  0.3476E+01  0.1880E+00  13
  29  64  3.1160 74.9828  2.3125  0.3574E+01  0.1907E+00  13
  29  64  3.1160 74.9828  2.3187  0.4056E+01  0.2025E+00  13
  29  64  3.1160 74.9828  2.3248  0.4081E+01  0.2025E+00  13
  29  64  3.1160 74.9828  2.3310  0.4350E+01  0.2120E+00  13
  29  64  3.1160 74.9828  2.3372  0.4313E+01  0.2114E+00  13
  29  64  3.1160 74.9828  2.3433  0.5227E+01  0.2308E+00  13
  29  64  3.1160 74.9828  2.3495  0.5135E+01  0.2332E+00  13
  29  64  3.1160 74.9828  2.3556  0.5617E+01  0.2426E+00  13
  29  64  3.1160 74.9828  2.3618  0.5949E+01  0.2486E+00  13
  29  64  3.1160 74.9828  2.3680  0.6270E+01  0.2556E+00  13
  29  64  3.1160 74.9828  2.3741  0.6308E+01  0.2578E+00  13
  29  64  3.1160 74.9828  2.3803  0.7442E+01  0.2777E+00  13
  29  64  3.1160 74.9828  2.3864  0.8274E+01  0.3100E+00  13
  29  64  3.1160 74.9828  2.3926  0.7852E+01  0.3265E+00  13
  29  64  3.1160 74.9828  2.3987  0.8758E+01  0.4071E+00  13
  29  64  3.1160 74.9828  2.2756  0.2418E+01  0.1979E+00  13
  29  64  3.1160 74.9828  2.2817  0.2240E+01  0.1811E+00  13
  29  64  3.1160 74.9828  2.2879  0.2511E+01  0.1815E+00  13
  29  64  3.1160 74.9828  2.2940  0.2761E+01  0.1870E+00  13
  29  64  3.1160 74.9828  2.3002  0.3228E+01  0.2020E+00  13
  29  64  3.1160 74.9828  2.3064  0.3567E+01  0.2071E+00  13
  29  64  3.1160 74.9828  2.3125  0.3156E+01  0.1996E+00  13
  29  64  3.1160 74.9828  2.3187  0.4160E+01  0.2276E+00  13
  29  64  3.1160 74.9828  2.3248  0.3786E+01  0.2229E+00  13
  29  64  3.1160 74.9828  2.3310  0.4389E+01  0.2358E+00  13
  29  64  3.1160 74.9828  2.3372  0.4790E+01  0.2467E+00  13
  29  64  3.1160 74.9828  2.3433  0.4685E+01  0.2463E+00  13
  29  64  3.1160 74.9828  2.3495  0.4851E+01  0.2523E+00  13
  29  64  3.1160 74.9828  2.3556  0.6168E+01  0.2804E+00  13
  29  64  3.1160 74.9828  2.3618  0.6212E+01  0.2814E+00  13
  29  64  3.1160 74.9828  2.3680  0.6453E+01  0.2871E+00  13
  29  64  3.1160 74.9828  2.3741  0.6843E+01  0.2965E+00  13
  29  64  3.1160 74.9828  2.3803  0.7330E+01  0.3042E+00  13
  29  64  3.1160 74.9828  2.3864  0.7438E+01  0.3280E+00  13
  29  64  3.1160 74.9828  2.3926  0.8541E+01  0.3801E+00  13
  29  64  3.1160 74.9828  2.3987  0.8548E+01  0.4458E+00  13
