EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin5                                                                
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   2.979  0.310 10.73    2.31    5.72    1.29    0.02    7.03 6.765E+00

  10.589 21.607  4.42    2.15    8.33    1.23    0.02    9.58  0.845
   2.971  0.309 10.75    2.33    5.83    1.31    0.02    7.16 6.792E+00

  10.589 21.607  4.41    2.17    8.41    1.25    0.02    9.68  0.845
   2.963  0.308 10.78    2.36    5.93    1.33    0.02    7.27 6.820E+00

  10.589 21.607  4.40    2.20    8.49    1.26    0.02    9.78  0.845
   2.955  0.307 10.81    2.38    6.03    1.34    0.02    7.40 6.847E+00

  10.589 21.687  4.84    1.55    5.56    0.81    0.01    6.37  0.845
   3.227  0.350  9.86    1.66    2.44    0.86    0.01    3.30 5.791E+00

  10.589 21.687  4.83    1.56    5.64    0.82    0.01    6.47  0.845
   3.219  0.349  9.89    1.67    2.54    0.87    0.01    3.41 5.818E+00

  10.589 21.687  4.81    1.58    5.72    0.83    0.01    6.56  0.845
   3.211  0.348  9.91    1.69    2.63    0.88    0.01    3.52 5.845E+00

  10.589 21.687  4.80    1.59    5.80    0.84    0.01    6.64  0.845
   3.203  0.346  9.94    1.71    2.73    0.89    0.01    3.62 5.871E+00

  10.589 21.687  4.79    1.61    5.88    0.85    0.01    6.74  0.845
   3.195  0.345  9.97    1.73    2.83    0.90    0.01    3.74 5.898E+00

  10.589 21.687  4.78    1.62    5.96    0.86    0.01    6.83  0.845
   3.187  0.344  9.99    1.74    2.93    0.91    0.01    3.85 5.925E+00

  10.589 21.687  4.77    1.64    6.04    0.87    0.01    6.92  0.845
   3.179  0.343 10.02    1.76    3.03    0.92    0.01    3.96 5.952E+00

  10.589 21.687  4.75    1.66    6.12    0.88    0.01    7.01  0.845
   3.171  0.341 10.05    1.78    3.12    0.93    0.01    4.06 5.978E+00

  10.589 21.687  4.74    1.67    6.19    0.89    0.01    7.09  0.845
   3.163  0.340 10.07    1.80    3.22    0.94    0.01    4.17 6.005E+00

  10.589 21.687  4.73    1.69    6.28    0.90    0.01    7.19  0.845
   3.155  0.339 10.10    1.81    3.32    0.96    0.01    4.29 6.032E+00

  10.589 21.687  4.72    1.71    6.36    0.91    0.01    7.28  0.845
   3.147  0.338 10.13    1.83    3.42    0.97    0.01    4.40 6.059E+00

  10.589 21.687  4.71    1.72    6.44    0.93    0.01    7.37  0.845
   3.139  0.337 10.16    1.85    3.52    0.98    0.01    4.51 6.086E+00

  10.589 21.687  4.69    1.74    6.52    0.94    0.01    7.47  0.845
   3.131  0.335 10.18    1.87    3.62    0.99    0.01    4.62 6.113E+00

  10.589 21.687  4.68    1.76    6.60    0.95    0.01    7.56  0.845
   3.123  0.334 10.21    1.89    3.72    1.01    0.01    4.73 6.139E+00

  10.589 21.687  4.67    1.77    6.68    0.96    0.01    7.65  0.845
   3.115  0.333 10.24    1.91    3.81    1.02    0.01    4.85 6.166E+00

  10.589 21.687  4.66    1.79    6.77    0.97    0.01    7.76  0.845
   3.107  0.332 10.26    1.93    3.93    1.03    0.01    4.97 6.193E+00

  10.589 21.687  4.65    1.81    6.85    0.99    0.01    7.85  0.845
   3.099  0.331 10.29    1.95    4.03    1.05    0.01    5.08 6.220E+00

  10.589 21.687  4.63    1.83    6.93    1.00    0.01    7.94  0.845
   3.091  0.329 10.32    1.97    4.13    1.06    0.01    5.20 6.247E+00

  10.589 21.687  4.62    1.85    7.02    1.01    0.01    8.04  0.845
   3.083  0.328 10.34    1.99    4.23    1.07    0.01    5.31 6.274E+00

  10.589 21.687  4.61    1.86    7.11    1.02    0.01    8.15  0.845
   3.075  0.327 10.37    2.01    4.34    1.09    0.01    5.44 6.301E+00

  10.589 21.687  4.60    1.88    7.19    1.04    0.01    8.24  0.845
   3.067  0.326 10.40    2.03    4.44    1.10    0.01    5.56 6.328E+00

  10.589 21.687  4.59    1.90    7.28    1.05    0.01    8.34  0.845
   3.059  0.325 10.43    2.05    4.54    1.12    0.01    5.67 6.355E+00

  10.589 21.687  4.57    1.92    7.36    1.07    0.01    8.44  0.845
   3.051  0.323 10.45    2.07    4.64    1.13    0.01    5.79 6.382E+00

  10.589 21.687  4.56    1.94    7.44    1.08    0.01    8.53  0.845
   3.043  0.322 10.48    2.10    4.74    1.15    0.01    5.90 6.409E+00

  10.589 21.687  4.55    1.96    7.52    1.09    0.02    8.63  0.845
   3.035  0.321 10.51    2.12    4.85    1.16    0.02    6.02 6.437E+00

  10.589 21.687  4.54    1.98    7.59    1.11    0.02    8.71  0.845
   3.027  0.320 10.53    2.14    4.93    1.18    0.02    6.12 6.464E+00

  10.589 21.687  4.53    2.00    7.67    1.12    0.02    8.81  0.845
   3.019  0.319 10.56    2.16    5.03    1.19    0.02    6.24 6.491E+00

  10.589 21.687  4.51    2.02    7.77    1.14    0.02    8.92  0.845
   3.011  0.317 10.59    2.19    5.15    1.21    0.02    6.37 6.518E+00

  10.589 21.687  4.50    2.04    7.85    1.15    0.02    9.02  0.845
   3.003  0.316 10.61    2.21    5.25    1.22    0.02    6.49 6.545E+00

  10.589 21.687  4.49    2.06    7.94    1.17    0.02    9.12  0.845
   2.995  0.315 10.64    2.23    5.35    1.24    0.02    6.61 6.572E+00

  10.589 21.687  4.48    2.09    8.04    1.18    0.02    9.24  0.845
   2.987  0.314 10.67    2.26    5.48    1.26    0.02    6.75 6.600E+00

  10.589 21.687  4.47    2.11    8.12    1.20    0.02    9.33  0.845
   2.979  0.313 10.70    2.28    5.57    1.27    0.02    6.86 6.627E+00

  10.589 21.687  4.45    2.13    8.21    1.21    0.02    9.44  0.845
   2.971  0.312 10.72    2.31    5.68    1.29    0.02    6.99 6.654E+00

  10.589 21.687  4.44    2.15    8.30    1.23    0.02    9.55  0.845
   2.963  0.310 10.75    2.33    5.80    1.31    0.02    7.12 6.681E+00

  10.589 21.687  4.43    2.17    8.38    1.25    0.02    9.65  0.845
   2.955  0.309 10.78    2.36    5.90    1.32    0.02    7.24 6.709E+00

  10.589 21.767  4.87    1.53    5.45    0.79    0.01    6.25  0.844
   3.227  0.353  9.82    1.64    2.30    0.84    0.01    3.15 5.662E+00

  10.589 21.767  4.86    1.55    5.53    0.80    0.01    6.34  0.844
   3.219  0.351  9.85    1.66    2.40    0.85    0.01    3.26 5.689E+00

  10.589 21.767  4.85    1.56    5.61    0.81    0.01    6.43  0.844
   3.211  0.350  9.88    1.67    2.50    0.86    0.01    3.37 5.715E+00

  10.589 21.767  4.84    1.58    5.69    0.82    0.01    6.52  0.845
   3.203  0.349  9.90    1.69    2.59    0.87    0.01    3.48 5.742E+00

  10.589 21.767  4.82    1.59    5.77    0.83    0.01    6.61  0.845
   3.195  0.348  9.93    1.71    2.69    0.89    0.01    3.59 5.768E+00

  10.589 21.767  4.81    1.61    5.85    0.85    0.01    6.70  0.845
   3.187  0.346  9.96    1.72    2.79    0.90    0.01    3.70 5.795E+00

  10.589 21.767  4.80    1.62    5.93    0.86    0.01    6.79  0.845
