EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   3.227  0.510  7.65    0.89   -4.98    0.37    0.00   -4.61 1.145E+00

  10.589 26.244  7.03    0.86   -0.64    0.35    0.00   -0.29  0.795
   3.219  0.508  7.68    0.90   -4.88    0.37    0.00   -4.51 1.157E+00

  10.589 26.244  7.01    0.86   -0.56    0.36    0.00   -0.20  0.796
   3.211  0.506  7.72    0.91   -4.79    0.38    0.00   -4.41 1.169E+00

  10.589 26.244  6.99    0.87   -0.48    0.36    0.00   -0.12  0.796
   3.203  0.504  7.75    0.91   -4.70    0.38    0.00   -4.31 1.181E+00

  10.589 26.244  6.97    0.88   -0.41    0.36    0.00   -0.04  0.797
   3.195  0.503  7.78    0.92   -4.60    0.39    0.00   -4.21 1.194E+00

  10.589 26.244  6.96    0.89   -0.33    0.37    0.00    0.04  0.797
   3.187  0.501  7.81    0.93   -4.50    0.39    0.00   -4.11 1.206E+00

  10.589 26.244  6.94    0.89   -0.25    0.37    0.00    0.13  0.797
   3.179  0.499  7.85    0.94   -4.41    0.39    0.00   -4.01 1.219E+00

  10.589 26.244  6.92    0.90   -0.17    0.38    0.00    0.21  0.798
   3.171  0.497  7.88    0.95   -4.31    0.40    0.00   -3.91 1.231E+00

  10.589 26.244  6.91    0.91   -0.09    0.38    0.00    0.29  0.798
   3.163  0.496  7.91    0.96   -4.21    0.40    0.00   -3.81 1.244E+00

  10.589 26.244  6.89    0.92   -0.01    0.38    0.00    0.38  0.799
   3.155  0.494  7.94    0.96   -4.11    0.41    0.00   -3.71 1.256E+00

  10.589 26.244  6.87    0.92    0.06    0.39    0.00    0.45  0.799
   3.147  0.492  7.98    0.97   -4.03    0.41    0.00   -3.62 1.269E+00

  10.589 26.244  6.85    0.93    0.14    0.39    0.00    0.54  0.800
   3.139  0.490  8.01    0.98   -3.93    0.42    0.00   -3.51 1.282E+00

  10.589 26.244  6.84    0.94    0.22    0.40    0.00    0.62  0.800
   3.131  0.488  8.04    0.99   -3.83    0.42    0.00   -3.41 1.295E+00

  10.589 26.244  6.82    0.95    0.29    0.40    0.00    0.70  0.801
   3.123  0.487  8.07    1.00   -3.74    0.43    0.00   -3.32 1.308E+00

  10.589 26.244  6.80    0.96    0.37    0.41    0.00    0.78  0.801
   3.115  0.485  8.11    1.01   -3.65    0.43    0.00   -3.22 1.321E+00

  10.589 26.244  6.78    0.97    0.45    0.41    0.00    0.86  0.802
   3.107  0.483  8.14    1.02   -3.55    0.44    0.00   -3.11 1.334E+00

  10.589 26.244  6.77    0.98    0.53    0.42    0.00    0.95  0.802
   3.099  0.481  8.17    1.03   -3.45    0.44    0.00   -3.01 1.347E+00

  10.589 26.244  6.75    0.98    0.61    0.42    0.00    1.03  0.803
   3.091  0.480  8.20    1.04   -3.36    0.45    0.00   -2.91 1.360E+00

  10.589 26.244  6.73    0.99    0.69    0.43    0.00    1.12  0.803
   3.083  0.478  8.24    1.05   -3.26    0.45    0.00   -2.81 1.373E+00

  10.589 26.244  6.71    1.00    0.79    0.43    0.00    1.22  0.804
   3.075  0.476  8.27    1.06   -3.15    0.46    0.00   -2.69 1.386E+00

  10.589 26.244  6.70    1.01    0.85    0.44    0.00    1.28  0.805
   3.067  0.474  8.30    1.07   -3.07    0.46    0.00   -2.60 1.400E+00

  10.589 26.244  6.68    1.02    0.93    0.44    0.00    1.37  0.806
   3.059  0.473  8.33    1.08   -2.97    0.47    0.00   -2.50 1.413E+00

  10.589 26.244  6.66    1.03    1.01    0.45    0.00    1.46  0.807
   3.051  0.471  8.37    1.09   -2.87    0.47    0.00   -2.39 1.426E+00

  10.589 26.244  6.64    1.04    1.09    0.45    0.00    1.54  0.806
   3.043  0.469  8.40    1.10   -2.77    0.48    0.00   -2.30 1.440E+00

  10.589 26.244  6.63    1.05    1.17    0.46    0.00    1.63  0.807
   3.035  0.467  8.43    1.11   -2.68    0.48    0.00   -2.19 1.453E+00

  10.589 26.244  6.61    1.06    1.25    0.46    0.00    1.71  0.808
   3.027  0.466  8.46    1.12   -2.58    0.49    0.00   -2.09 1.467E+00

  10.589 26.244  6.59    1.07    1.33    0.47    0.00    1.80  0.808
   3.019  0.464  8.50    1.13   -2.48    0.50    0.00   -1.98 1.481E+00

  10.589 26.244  6.57    1.08    1.42    0.47    0.00    1.89  0.809
   3.011  0.462  8.53    1.14   -2.38    0.50    0.00   -1.87 1.494E+00

  10.589 26.244  6.56    1.09    1.50    0.48    0.00    1.98  0.810
   3.003  0.461  8.56    1.15   -2.28    0.51    0.00   -1.77 1.508E+00

  10.589 26.244  6.54    1.10    1.58    0.49    0.00    2.07  0.810
   2.995  0.459  8.59    1.16   -2.18    0.52    0.00   -1.66 1.522E+00

  10.589 26.244  6.52    1.11    1.66    0.49    0.00    2.15  0.811
   2.987  0.457  8.63    1.17   -2.08    0.52    0.00   -1.56 1.536E+00

  10.589 26.244  6.50    1.12    1.75    0.50    0.00    2.25  0.812
   2.979  0.455  8.66    1.18   -1.98    0.53    0.00   -1.45 1.550E+00

  10.589 26.244  6.49    1.13    1.83    0.51    0.00    2.33  0.812
   2.971  0.454  8.69    1.19   -1.88    0.54    0.00   -1.34 1.564E+00

  10.589 26.244  6.47    1.14    1.91    0.51    0.00    2.42  0.813
   2.963  0.452  8.72    1.21   -1.78    0.54    0.00   -1.23 1.578E+00

  10.589 26.244  6.45    1.15    1.99    0.52    0.00    2.51  0.814
   2.955  0.450  8.76    1.22   -1.68    0.55    0.00   -1.13 1.592E+00

  10.589 26.324  7.09    0.84   -0.81    0.35    0.00   -0.47  0.794
   3.227  0.513  7.61    0.89   -5.09    0.37    0.00   -4.72 1.112E+00

  10.589 26.324  7.07    0.85   -0.74    0.35    0.00   -0.39  0.795
   3.219  0.511  7.64    0.89   -5.00    0.37    0.00   -4.63 1.124E+00

  10.589 26.324  7.05    0.86   -0.66    0.35    0.00   -0.30  0.795
   3.211  0.509  7.67    0.90   -4.90    0.37    0.00   -4.53 1.136E+00

  10.589 26.324  7.03    0.87   -0.58    0.36    0.00   -0.22  0.795
   3.203  0.508  7.71    0.91   -4.81    0.38    0.00   -4.43 1.148E+00

  10.589 26.324  7.02    0.87   -0.50    0.36    0.00   -0.14  0.796
   3.195  0.506  7.74    0.92   -4.71    0.38    0.00   -4.33 1.161E+00

  10.589 26.324  7.00    0.88   -0.42    0.36    0.00   -0.06  0.796
   3.187  0.504  7.77    0.92   -4.62    0.39    0.00   -4.23 1.173E+00

  10.589 26.324  6.98    0.89   -0.34    0.37    0.00    0.02  0.797
   3.179  0.502  7.80    0.93   -4.52    0.39    0.00   -4.13 1.185E+00

  10.589 26.324  6.96    0.90   -0.27    0.37    0.00    0.11  0.797
   3.171  0.500  7.84    0.94   -4.43    0.39    0.00   -4.03 1.197E+00

  10.589 26.324  6.95    0.90   -0.19    0.38    0.00    0.19  0.797
   3.163  0.498  7.87    0.95   -4.33    0.40    0.00   -3.93 1.210E+00

