EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   3.123  0.334 10.21    1.77    4.00    1.09    0.01    5.10 3.799E+00

  10.589 21.687  4.67    1.65    6.64    1.03    0.01    7.68  0.963
   3.115  0.333 10.24    1.79    4.10    1.11    0.01    5.22 3.816E+00

  10.589 21.687  4.66    1.66    6.71    1.04    0.01    7.76  0.962
   3.107  0.332 10.26    1.81    4.20    1.12    0.01    5.33 3.833E+00

  10.589 21.687  4.65    1.68    6.79    1.05    0.01    7.86  0.962
   3.099  0.331 10.29    1.82    4.30    1.13    0.01    5.44 3.850E+00

  10.589 21.687  4.63    1.70    6.87    1.07    0.01    7.95  0.962
   3.091  0.329 10.32    1.84    4.39    1.12    0.01    5.52 3.867E+00

  10.589 21.687  4.62    1.71    6.96    1.08    0.01    8.05  0.963
   3.083  0.328 10.34    1.86    4.50    1.16    0.01    5.68 3.884E+00

  10.589 21.687  4.61    1.73    7.04    1.09    0.01    8.15  0.964
   3.075  0.327 10.37    1.88    4.60    1.18    0.01    5.79 3.901E+00

  10.589 21.687  4.60    1.75    7.12    1.11    0.01    8.24  0.963
   3.067  0.326 10.40    1.90    4.70    1.19    0.01    5.91 3.918E+00

  10.589 21.687  4.59    1.76    7.20    1.12    0.01    8.34  0.964
   3.059  0.325 10.43    1.92    4.80    1.21    0.01    6.02 3.935E+00

  10.589 21.687  4.57    1.78    7.28    1.13    0.01    8.43  0.959
   3.051  0.323 10.45    1.94    4.90    1.22    0.01    6.14 3.953E+00

  10.589 21.687  4.56    1.80    7.37    1.15    0.01    8.54  0.965
   3.043  0.322 10.48    1.96    5.00    1.24    0.01    6.26 3.970E+00

  10.589 21.687  4.55    1.82    7.46    1.17    0.01    8.64  0.964
   3.035  0.321 10.51    1.98    5.11    1.26    0.01    6.38 3.987E+00

  10.589 21.687  4.54    1.83    7.54    1.18    0.01    8.73  0.965
   3.027  0.320 10.53    2.00    5.21    1.27    0.01    6.49 4.004E+00

  10.589 21.687  4.53    1.85    7.62    1.20    0.01    8.83  0.966
   3.019  0.319 10.56    2.02    5.31    1.29    0.01    6.61 4.021E+00

  10.589 21.687  4.51    1.87    7.70    1.21    0.01    8.93  0.965
   3.011  0.317 10.59    2.04    5.41    1.31    0.01    6.73 4.038E+00

  10.589 21.687  4.50    1.89    7.79    1.23    0.02    9.03  0.964
   3.003  0.316 10.61    2.06    5.51    1.32    0.02    6.85 4.056E+00

