EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   3.227  0.353  9.82    1.41    1.79    0.75    0.01    2.55 4.802E+00

  10.589 21.767  4.86    1.33    5.00    0.71    0.01    5.72  0.855
   3.219  0.351  9.85    1.42    1.88    0.76    0.01    2.65 4.826E+00

  10.589 21.767  4.85    1.34    5.08    0.72    0.01    5.81  0.855
   3.211  0.350  9.88    1.43    1.98    0.77    0.01    2.75 4.850E+00

  10.589 21.767  4.84    1.35    5.15    0.73    0.01    5.89  0.856
   3.203  0.349  9.90    1.45    2.07    0.78    0.01    2.86 4.874E+00

  10.589 21.767  4.82    1.36    5.23    0.74    0.01    5.98  0.856
   3.195  0.348  9.93    1.46    2.16    0.79    0.01    2.96 4.899E+00

  10.589 21.767  4.81    1.37    5.31    0.75    0.01    6.07  0.856
   3.187  0.346  9.96    1.47    2.26    0.79    0.01    3.07 4.923E+00

  10.589 21.767  4.80    1.39    5.39    0.76    0.01    6.15  0.857
   3.179  0.345  9.99    1.49    2.35    0.80    0.01    3.17 4.948E+00

  10.589 21.767  4.79    1.40    5.46    0.77    0.01    6.24  0.857
   3.171  0.344 10.01    1.50    2.45    0.81    0.01    3.27 4.972E+00

  10.589 21.767  4.78    1.41    5.54    0.78    0.01    6.32  0.858
   3.163  0.343 10.04    1.52    2.54    0.82    0.01    3.37 4.997E+00

  10.589 21.767  4.76    1.42    5.61    0.79    0.01    6.41  0.858
   3.155  0.341 10.07    1.53    2.64    0.83    0.01    3.48 5.021E+00

  10.589 21.767  4.75    1.44    5.69    0.80    0.01    6.50  0.858
   3.147  0.340 10.09    1.54    2.73    0.85    0.01    3.59 5.046E+00

  10.589 21.767  4.74    1.45    5.77    0.81    0.01    6.59  0.859
   3.139  0.339 10.12    1.56    2.82    0.86    0.01    3.69 5.071E+00

  10.589 21.767  4.73    1.46    5.85    0.82    0.01    6.68  0.859
   3.131  0.338 10.15    1.57    2.92    0.87    0.01    3.80 5.095E+00

  10.589 21.767  4.72    1.48    5.92    0.83    0.01    6.76  0.859
   3.123  0.337 10.18    1.59    3.01    0.88    0.01    3.90 5.120E+00

