EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
  10.589 24.071  5.63    1.42    4.05    0.69    0.00    4.74  0.836
   3.059  0.399  9.38    1.51    0.64    0.73    0.00    1.37 3.306E+00

  10.589 24.071  5.62    1.43    4.13    0.70    0.00    4.83  0.836
   3.051  0.397  9.41    1.52    0.73    0.74    0.00    1.47 3.327E+00

  10.589 24.071  5.60    1.44    4.21    0.70    0.00    4.92  0.836
   3.043  0.396  9.44    1.54    0.83    0.75    0.00    1.58 3.348E+00

  10.589 24.071  5.59    1.46    4.31    0.71    0.00    5.03  0.836
   3.035  0.394  9.47    1.56    0.95    0.76    0.00    1.71 3.369E+00

  10.589 24.071  5.57    1.47    4.39    0.72    0.00    5.12  0.836
   3.027  0.393  9.50    1.57    1.05    0.77    0.00    1.82 3.390E+00

  10.589 24.071  5.56    1.49    4.47    0.73    0.00    5.21  0.834
   3.019  0.391  9.53    1.59    1.15    0.77    0.00    1.93 3.411E+00

  10.589 24.071  5.55    1.50    4.55    0.74    0.00    5.30  0.837
   3.011  0.390  9.56    1.61    1.25    0.79    0.00    2.04 3.433E+00

  10.589 24.071  5.53    1.52    4.63    0.75    0.00    5.39  0.837
   3.003  0.388  9.59    1.62    1.35    0.80    0.00    2.15 3.454E+00

  10.589 24.071  5.52    1.53    4.71    0.76    0.00    5.48  0.837
   2.995  0.387  9.62    1.64    1.45    0.81    0.00    2.26 3.475E+00

  10.589 24.071  5.50    1.55    4.81    0.77    0.00    5.58  0.837
   2.987  0.386  9.65    1.66    1.56    0.82    0.00    2.38 3.496E+00

  10.589 24.071  5.49    1.57    4.89    0.78    0.00    5.68  0.837
   2.979  0.384  9.67    1.67    1.66    0.83    0.00    2.50 3.518E+00

  10.589 24.071  5.47    1.58    4.97    0.79    0.00    5.77  0.837
   2.971  0.383  9.70    1.69    1.76    0.84    0.00    2.61 3.539E+00

  10.589 24.071  5.46    1.60    5.06    0.80    0.00    5.87  0.837
   2.963  0.381  9.73    1.71    1.87    0.85    0.00    2.72 3.561E+00

  10.589 24.071  5.44    1.62    5.14    0.82    0.00    5.96  0.837
   2.955  0.380  9.76    1.73    1.97    0.87    0.00    2.84 3.582E+00

  10.589 24.151  5.98    1.14    2.27    0.52    0.00    2.79  0.832
   3.227  0.433  8.71    1.21   -1.55    0.55    0.00   -1.00 2.804E+00

  10.589 24.151  5.97    1.15    2.35    0.53    0.00    2.88  0.832
   3.219  0.431  8.74    1.22   -1.46    0.56    0.00   -0.90 2.824E+00

  10.589 24.151  5.95    1.16    2.42    0.53    0.00    2.96  0.832
   3.211  0.430  8.77    1.23   -1.37    0.57    0.00   -0.80 2.844E+00

  10.589 24.151  5.94    1.18    2.51    0.54    0.00    3.05  0.833
   3.203  0.428  8.80    1.25   -1.26    0.57    0.00   -0.69 2.864E+00

  10.589 24.151  5.92    1.19    2.59    0.55    0.00    3.14  0.833
   3.195  0.427  8.83    1.26   -1.16    0.58    0.00   -0.58 2.884E+00

  10.589 24.151  5.91    1.20    2.66    0.55    0.00    3.21  0.833
   3.187  0.425  8.86    1.27   -1.08    0.59    0.00   -0.49 2.904E+00

  10.589 24.151  5.89    1.21    2.73    0.56    0.00    3.30  0.833
   3.179  0.424  8.89    1.28   -0.98    0.59    0.00   -0.39 2.925E+00

  10.589 24.151  5.88    1.22    2.82    0.57    0.00    3.39  0.833
   3.171  0.422  8.92    1.30   -0.88    0.60    0.00   -0.28 2.945E+00

  10.589 24.151  5.86    1.23    2.90    0.57    0.00    3.47  0.833
   3.163  0.421  8.95    1.31   -0.78    0.61    0.00   -0.17 2.965E+00

  10.589 24.151  5.85    1.25    2.97    0.58    0.00    3.56  0.833
   3.155  0.419  8.98    1.32   -0.69    0.62    0.00   -0.07 2.985E+00

  10.589 24.151  5.83    1.26    3.05    0.59    0.00    3.65  0.833
   3.147  0.418  9.01    1.34   -0.59    0.62    0.00    0.04 3.005E+00

  10.589 24.151  5.82    1.27    3.13    0.60    0.00    3.73  0.834
   3.139  0.416  9.04    1.35   -0.49    0.63    0.00    0.14 3.026E+00

  10.589 24.151  5.80    1.28    3.20    0.60    0.00    3.81  0.834
