EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin13_2nd                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   3.195  0.662  5.56    0.70  -10.07    0.32    0.00   -9.75 2.381E-01

  10.589 30.212  9.17    0.68   -4.95    0.30    0.00   -4.65  0.826
   3.187  0.660  5.60    0.71   -9.97    0.32    0.00   -9.66 2.427E-01

  10.589 30.212  9.15    0.68   -4.88    0.30    0.00   -4.58  0.823
   3.179  0.658  5.64    0.71   -9.88    0.32    0.00   -9.56 2.475E-01

  10.589 30.212  9.12    0.68   -4.79    0.30    0.00   -4.49  0.820
   3.171  0.655  5.68    0.72   -9.78    0.32    0.00   -9.46 2.522E-01

  10.589 30.212  9.10    0.69   -4.71    0.30    0.00   -4.41  0.818
   3.163  0.653  5.72    0.72   -9.68    0.32    0.00   -9.36 2.571E-01

  10.589 30.212  9.08    0.69   -4.63    0.30    0.00   -4.33  0.815
   3.155  0.651  5.75    0.73   -9.58    0.32    0.00   -9.26 2.620E-01

  10.589 30.212  9.05    0.70   -4.54    0.30    0.00   -4.24  0.813
   3.147  0.648  5.79    0.73   -9.48    0.32    0.00   -9.16 2.669E-01

  10.589 30.212  9.03    0.70   -4.46    0.30    0.00   -4.16  0.811
   3.139  0.646  5.83    0.74   -9.38    0.32    0.00   -9.06 2.719E-01

  10.589 30.212  9.01    0.71   -4.38    0.30    0.00   -4.08  0.808
   3.131  0.644  5.87    0.74   -9.28    0.32    0.00   -8.96 2.770E-01

  10.589 30.212  8.98    0.71   -4.30    0.30    0.00   -4.00  0.806
   3.123  0.641  5.91    0.75   -9.18    0.32    0.00   -8.86 2.821E-01

  10.589 30.212  8.96    0.72   -4.22    0.30    0.00   -3.92  0.804
   3.115  0.639  5.94    0.75   -9.09    0.32    0.00   -8.77 2.873E-01

  10.589 30.212  8.94    0.72   -4.14    0.30    0.00   -3.84  0.802
   3.107  0.637  5.98    0.76   -8.99    0.32    0.00   -8.67 2.926E-01

  10.589 30.212  8.91    0.73   -4.06    0.30    0.00   -3.75  0.800
   3.099  0.634  6.02    0.76   -8.89    0.32    0.00   -8.56 2.979E-01

  10.589 30.212  8.89    0.74   -3.97    0.30    0.00   -3.66  0.798
   3.091  0.632  6.06    0.77   -8.78    0.32    0.00   -8.46 3.033E-01

  10.589 30.212  8.87    0.74   -3.89    0.31    0.00   -3.58  0.796
   3.083  0.630  6.10    0.77   -8.68    0.32    0.00   -8.36 3.087E-01

  10.589 30.212  8.85    0.74   -3.81    0.31    0.00   -3.50  0.795
   3.075  0.627  6.13    0.78   -8.59    0.33    0.00   -8.26 3.142E-01

  10.589 30.212  8.82    0.75   -3.69    0.31    0.00   -3.38  0.793
   3.067  0.625  6.17    0.79   -8.45    0.33    0.00   -8.12 3.198E-01

  10.589 30.212  8.80    0.76   -3.64    0.31    0.00   -3.33  0.792
   3.059  0.623  6.21    0.79   -8.39    0.33    0.00   -8.06 3.254E-01

  10.589 30.212  8.78    0.76   -3.56    0.31    0.00   -3.25  0.790
   3.051  0.620  6.25    0.80   -8.29    0.33    0.00   -7.96 3.311E-01

  10.589 30.212  8.75    0.77   -3.48    0.31    0.00   -3.16  0.789
   3.043  0.618  6.29    0.80   -8.19    0.33    0.00   -7.86 3.369E-01

  10.589 30.212  8.73    0.78   -3.39    0.31    0.00   -3.08  0.788
   3.035  0.616  6.33    0.81   -8.09    0.33    0.00   -7.75 3.427E-01

  10.589 30.212  8.71    0.78   -3.31    0.32    0.00   -3.00  0.787
   3.027  0.614  6.36    0.82   -7.99    0.34    0.00   -7.65 3.486E-01

  10.589 30.212  8.68    0.79   -3.23    0.32    0.00   -2.91  0.786
   3.019  0.611  6.40    0.82   -7.89    0.34    0.00   -7.55 3.545E-01

  10.589 30.212  8.66    0.79   -3.14    0.32    0.00   -2.82  0.785
   3.011  0.609  6.44    0.83   -7.78    0.34    0.00   -7.44 3.605E-01

  10.589 30.212  8.64    0.80   -3.07    0.32    0.00   -2.74  0.784
   3.003  0.607  6.48    0.84   -7.69    0.34    0.00   -7.34 3.666E-01

  10.589 30.212  8.62    0.81   -2.98    0.32    0.00   -2.65  0.783
   2.995  0.605  6.52    0.84   -7.58    0.34    0.00   -7.24 3.728E-01

  10.589 30.212  8.59    0.81   -2.88    0.33    0.00   -2.56  0.782
   2.987  0.602  6.55    0.85   -7.47    0.35    0.00   -7.12 3.790E-01

  10.589 30.212  8.57    0.82   -2.80    0.33    0.00   -2.47  0.782
   2.979  0.600  6.59    0.86   -7.37    0.35    0.00   -7.02 3.852E-01

  10.589 30.212  8.55    0.83   -2.73    0.33    0.00   -2.40  0.779
   2.971  0.598  6.63    0.87   -7.28    0.35    0.00   -6.93 3.915E-01

  10.589 30.212  8.52    0.84   -2.64    0.33    0.00   -2.31  0.778
   2.963  0.596  6.67    0.87   -7.18    0.35    0.00   -6.83 3.979E-01

  10.589 30.212  8.50    0.84   -2.56    0.34    0.00   -2.22  0.780
   2.955  0.593  6.71    0.88   -7.07    0.36    0.00   -6.72 4.044E-01

  10.589 30.292  9.33    0.65   -5.45    0.30    0.00   -5.15  0.849
   3.227  0.675  5.36    0.68  -10.57    0.32    0.00  -10.25 2.117E-01

  10.589 30.292  9.31    0.66   -5.38    0.30    0.00   -5.07  0.846
   3.219  0.673  5.40    0.69  -10.48    0.32    0.00  -10.16 2.160E-01

  10.589 30.292  9.28    0.66   -5.30    0.30    0.00   -5.00  0.841
   3.211  0.671  5.44    0.69  -10.39    0.32    0.00  -10.07 2.203E-01

  10.589 30.292  9.26    0.67   -5.22    0.30    0.00   -4.91  0.837
   3.203  0.668  5.48    0.70  -10.28    0.32    0.00   -9.97 2.248E-01

  10.589 30.292  9.24    0.67   -5.13    0.30    0.00   -4.83  0.833
   3.195  0.666  5.52    0.70  -10.18    0.32    0.00   -9.86 2.292E-01

  10.589 30.292  9.22    0.67   -5.04    0.30    0.00   -4.74  0.830
   3.187  0.663  5.56    0.70  -10.08    0.32    0.00   -9.76 2.338E-01

