EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   2.981  0.261 11.44    2.60    9.28    1.55    0.01   10.83 4.048E+01

  10.590 19.872  3.76    2.45    9.94    1.47    0.01   11.41  0.803
   2.981  0.263 11.40    2.57    9.12    1.52    0.01   10.64 3.945E+01

  10.590 19.972  3.80    2.42    9.80    1.44    0.01   11.24  0.803
   2.981  0.266 11.36    2.53    8.95    1.49    0.01   10.45 3.844E+01

  10.590 20.072  3.83    2.39    9.66    1.41    0.01   11.08  0.803
   2.981  0.269 11.32    2.50    8.80    1.47    0.01   10.27 3.746E+01

  10.590 15.072  2.18    4.90   17.35    3.35    0.29   20.99  0.751
   2.986  0.152 12.97    5.20   17.57    3.49    0.29   21.36 1.388E+02

  10.590 15.172  2.20    4.82   17.22    3.29    0.27   20.79  0.752
   2.986  0.154 12.95    5.12   17.42    3.43    0.27   21.13 1.351E+02

  10.590 15.272  2.23    4.75   17.03    3.24    0.26   20.53  0.754
   2.986  0.157 12.92    5.04   17.21    3.38    0.26   20.84 1.314E+02

  10.590 15.372  2.26    4.68   16.87    3.19    0.24   20.30  0.755
   2.986  0.159 12.89    4.96   17.02    3.32    0.24   20.58 1.279E+02

  10.590 15.472  2.29    4.61   16.71    3.13    0.23   20.07  0.757
   2.986  0.161 12.86    4.89   16.84    3.26    0.23   20.33 1.244E+02

  10.590 15.572  2.32    4.54   16.55    3.08    0.21   19.85  0.759
   2.986  0.163 12.83    4.81   16.66    3.21    0.21   20.08 1.211E+02

  10.590 15.672  2.35    4.47   16.39    3.03    0.20   19.62  0.760
   2.986  0.165 12.80    4.74   16.47    3.15    0.20   19.83 1.179E+02

  10.590 15.772  2.38    4.40   16.23    2.98    0.19   19.40  0.762
   2.986  0.167 12.77    4.66   16.29    3.10    0.19   19.58 1.147E+02

  10.590 15.872  2.41    4.33   15.98    2.93    0.18   19.08  0.763
   2.986  0.169 12.74    4.59   16.01    3.05    0.18   19.24 1.117E+02

  10.590 15.972  2.44    4.27   15.93    2.88    0.17   18.98  0.765
   2.986  0.171 12.71    4.52   15.93    3.00    0.17   19.09 1.087E+02

  10.590 16.072  2.47    4.20   15.76    2.83    0.16   18.74  0.766
   2.986  0.173 12.68    4.45   15.75    2.95    0.16   18.85 1.058E+02

  10.590 16.172  2.50    4.14   15.59    2.78    0.15   18.52  0.768
   2.986  0.175 12.65    4.38   15.56    2.90    0.15   18.60 1.031E+02

  10.590 16.272  2.53    4.08   15.45    2.73    0.14   18.32  0.769
   2.986  0.178 12.62    4.32   15.39    2.85    0.14   18.37 1.003E+02

  10.590 16.372  2.56    4.02   15.28    2.69    0.13   18.09  0.771
   2.986  0.180 12.59    4.25   15.20    2.80    0.13   18.13 9.771E+01

  10.590 16.472  2.60    3.96   15.12    2.64    0.12   17.88  0.772
   2.986  0.182 12.55    4.19   15.02    2.75    0.12   17.89 9.515E+01

  10.590 16.572  2.63    3.90   14.96    2.60    0.11   17.67  0.773
   2.986  0.184 12.52    4.12   14.83    2.70    0.11   17.64 9.266E+01

  10.590 16.672  2.66    3.84   14.80    2.55    0.10   17.46  0.775
   2.986  0.186 12.49    4.06   14.66    2.66    0.10   17.42 9.024E+01

  10.590 16.772  2.69    3.78   14.65    2.51    0.10   17.26  0.776
   2.986  0.189 12.46    4.00   14.48    2.61    0.10   17.19 8.789E+01

  10.590 16.872  2.72    3.73   14.49    2.47    0.09   17.05  0.778
