!iexp    x       qsq      rat     drat(frac)  norm(frac)
  3.  0.1000    1.077    0.9082    0.0139    0.0060
  3.  0.0810    1.002    0.9265    0.0139    0.0060
  3.  0.0650    0.921    0.9290    0.0139    0.0060
  3.  0.3150    1.102    0.8616    0.0089    0.0060
  3.  0.2660    1.078    0.8506    0.0079    0.0060
  3.  0.2180    1.047    0.8720    0.0079    0.0060
  3.  0.1670    0.998    0.8873    0.0079    0.0060
  3.  0.1250    0.936    0.9161    0.0129    0.0060
  3.  0.0970    0.874    0.9156    0.0149    0.0060
  3.  0.0770    0.811    0.9553    0.0149    0.0060
  3.  0.2280    0.716    0.9102    0.0079    0.0060
  3.  0.1810    0.692    0.9072    0.0079    0.0060
  3.  0.1360    0.657    0.9082    0.0089    0.0060
  3.  0.1020    0.617    0.9265    0.0099    0.0060
  3.  0.0820    0.581    0.9384    0.0109    0.0060
  4.  0.7480   11.773    0.6949    0.0456    0.0110
  4.  0.7020   11.422    0.7088    0.0248    0.0110
  4.  0.6470   10.975    0.7212    0.0159    0.0110
  4.  0.6040   10.594    0.7182    0.0119    0.0110
  4.  0.5520   10.101    0.7366    0.0208    0.0110
  4.  0.4980    9.544    0.7609    0.0218    0.0110
  4.  0.4480    8.976    0.7519    0.0218    0.0110
  4.  0.4060    8.450    0.7415    0.0228    0.0110
  4.  0.3680    7.942    0.7827    0.0228    0.0110
  4.  0.3340    7.463    0.8164    0.0179    0.0110
  4.  0.3130    7.142    0.8065    0.0317    0.0110
  4.  0.7860    9.051    0.6979    0.0198    0.0110
  4.  0.7360    8.806    0.7172    0.0179    0.0110
  4.  0.6810    8.514    0.7033    0.0228    0.0110
  4.  0.6300    8.219    0.7301    0.0268    0.0110
  4.  0.5770    7.883    0.7291    0.0238    0.0110
  4.  0.5280    7.542    0.7648    0.0208    0.0110
  4.  0.4740    7.134    0.7599    0.0188    0.0110
  4.  0.4270    6.735    0.7961    0.0188    0.0110
  4.  0.3820    6.314    0.8219    0.0188    0.0110
  4.  0.3520    6.013    0.7802    0.0308    0.0110
  4.  0.7300    6.556    0.6894    0.0248    0.0110
  4.  0.6790    6.375    0.7366    0.0218    0.0110
  4.  0.6250    6.159    0.7113    0.0248    0.0110
  4.  0.5680    5.911    0.7172    0.0258    0.0110
  4.  0.5110    5.631    0.7648    0.0248    0.0110
  4.  0.4590    5.345    0.7718    0.0238    0.0110
  4.  0.4160    5.089    0.7480    0.0298    0.0110
  4.  0.3840    4.877    0.7976    0.1399    0.0110
  4.  0.6460    4.357    0.7490    0.0169    0.0110
  4.  0.5950    4.228    0.7509    0.0139    0.0110
  4.  0.5430    4.080    0.7380    0.0119    0.0110
  4.  0.5060    3.963    0.7673    0.0327    0.0110
  4.  0.8700   18.657    0.8194    0.0317    0.0110
  4.  0.8250   18.098    0.7351    0.0268    0.0110
  4.  0.7700   17.379    0.7599    0.0278    0.0110
  4.  0.7200   16.674    0.7147    0.0268    0.0110
  4.  0.6680   15.916    0.6974    0.0258    0.0110
  4.  0.6150   15.091    0.6865    0.0238    0.0110
  4.  0.5650   14.255    0.7073    0.0248    0.0110
  4.  0.5170   13.421    0.7321    0.0248    0.0110
  4.  0.4710   12.581    0.7415    0.0258    0.0110
  4.  0.4370   11.905    0.7738    0.0327    0.0110
  4.  0.4120   11.417    0.6007    0.1329    0.0110
  4.  0.8560   15.909    0.8313    0.0288    0.0110
  4.  0.8070   15.401    0.7346    0.0248    0.0110
  4.  0.7540   14.808    0.7142    0.0278    0.0110
  4.  0.7000   14.180    0.7103    0.0258    0.0110
  4.  0.6490   13.540    0.7440    0.0248    0.0110
  4.  0.6000   12.883    0.7594    0.0248    0.0110
  4.  0.5450   12.108    0.7385    0.0228    0.0110
  4.  0.4910   11.301    0.7628    0.0179    0.0110
  4.  0.4560   10.738    0.7723    0.0119    0.0110
  4.  0.4320   10.341    0.7232    0.0427    0.0110
  4.  0.8210   11.894    0.7693    0.0397    0.0110
  4.  0.7740   11.539    0.7137    0.0278    0.0110
  4.  0.7240   11.130    0.6756    0.0288    0.0110
  4.  0.6680   10.641    0.7256    0.0268    0.0110
  4.  0.6170   10.166    0.7098    0.0258    0.0110
  4.  0.5660    9.656    0.7252    0.0238    0.0110
  4.  0.5140    9.093    0.7152    0.0248    0.0110
  4.  0.4790    8.695    0.8005    0.0665    0.0110
  4.  0.7800    8.814    0.7351    0.0258    0.0110
  4.  0.7270    8.513    0.7043    0.0228    0.0110
  4.  0.6720    8.179    0.7053    0.0218    0.0110
  4.  0.6210    7.848    0.7043    0.0198    0.0110
  4.  0.5730    7.505    0.7455    0.0278    0.0110
  4.  0.5370    7.233    0.6865    0.0823    0.0110
  4.  0.8800   20.481    0.8348    0.0446    0.0110
  4.  0.8320   19.697    0.7787    0.0337    0.0110
  4.  0.7800   18.814    0.7420    0.0327    0.0110
  4.  0.7300   17.934    0.6979    0.0347    0.0110
  4.  0.6760   16.950    0.7440    0.0317    0.0110
  4.  0.6170   15.822    0.7088    0.0288    0.0110
  4.  0.5660   14.811    0.7341    0.0317    0.0110
  4.  0.5220   13.896    0.7529    0.0327    0.0110
  4.  0.4830   13.069    0.7648    0.0337    0.0110
  4.  0.4600   12.579    0.7217    0.0704    0.0110
  4.  0.8510   15.700    0.8159    0.0347    0.0110
  4.  0.8040   15.114    0.7271    0.0258    0.0110
  4.  0.7530   14.467    0.7232    0.0258    0.0110
  4.  0.6960   13.698    0.6865    0.0298    0.0110
  4.  0.6410   12.925    0.7252    0.0278    0.0110
  4.  0.5890   12.152    0.7440    0.0258    0.0110
  4.  0.5380   11.373    0.7311    0.0288    0.0110
  4.  0.4940   10.661    0.7762    0.0387    0.0110
  4.  0.8140   11.096    0.7227    0.0377    0.0110
  4.  0.7690   10.717    0.6865    0.0397    0.0110
  4.  0.7130   10.215    0.7326    0.0327    0.0110
  4.  0.6500    9.617    0.7222    0.0288    0.0110
  4.  0.5910    9.017    0.7693    0.0288    0.0110
  4.  0.5350    8.410    0.7400    0.0308    0.0110
  4.  0.7360    6.731    0.7137    0.0228    0.0110
  4.  0.6870    6.471    0.7073    0.0278    0.0110
  4.  0.6350    6.182    0.7137    0.0317    0.0110
  4.  0.6000    5.972    0.8015    0.1528    0.0110
  4.  0.8310   17.948    0.7619    0.0684    0.0110
  4.  0.7560   16.666    0.6984    0.0436    0.0110
  4.  0.6830   15.384    0.7326    0.0377    0.0110
  4.  0.6130   14.102    0.7500    0.0367    0.0110
  4.  0.5460   12.820    0.7212    0.0377    0.0110
  4.  0.8000   13.883    0.7147    0.0427    0.0110
  4.  0.7190   12.815    0.7137    0.0347    0.0110
  4.  0.6420   11.747    0.6979    0.0347    0.0110
  4.  0.5690   10.679    0.7619    0.0357    0.0110
  4.  0.7810   10.252    0.7291    0.0407    0.0110
  4.  0.6910    9.398    0.7514    0.0347    0.0110
  4.  0.6070    8.543    0.6870    0.0357    0.0110
  4.  0.5290    7.689    0.7574    0.0466    0.0110
  5.  0.8930   30.091    1.2941    0.0942    0.0060
  5.  0.8440   28.583    0.8854    0.0526    0.0060
  5.  0.7880   26.790    0.7951    0.0397    0.0060
  5.  0.7250   24.815    0.7628    0.0456    0.0060
  5.  0.6670   22.919    0.7509    0.0387    0.0060
  5.  0.6200   21.419    0.7405    0.0456    0.0060
  5.  0.5850   20.267    0.6726    0.0962    0.0060
  5.  0.8800   23.944    0.9240    0.0635    0.0060
  5.  0.8400   22.962    0.8154    0.0536    0.0060
  5.  0.7850   21.587    0.7316    0.0476    0.0060
  5.  0.7290   20.168    0.7752    0.0436    0.0060
  5.  0.6750   18.784    0.7698    0.0456    0.0060
  5.  0.6330   17.702    0.7004    0.0556    0.0060
  5.  0.5950   16.706    0.5664    0.1855    0.0060
  5.  0.8750   19.421    0.7455    0.0665    0.0060
  5.  0.8270   18.469    0.7981    0.0516    0.0060
  5.  0.7750   17.412    0.7266    0.0486    0.0060
  5.  0.7220   16.332    0.7961    0.0506    0.0060
  5.  0.6710   15.289    0.7371    0.0585    0.0060
  5.  0.6270   14.360    0.6726    0.0635    0.0060
  5.  0.5820   13.413    0.7519    0.0883    0.0060
  5.  0.5520   12.776    0.6939    0.1409    0.0060
  5.  0.8420   14.263    0.8546    0.0754    0.0060
  5.  0.7910   13.512    0.7271    0.0516    0.0060
  5.  0.7360   12.679    0.6984    0.0526    0.0060
  5.  0.6830   11.870    0.6746    0.0466    0.0060
  5.  0.6340   11.103    0.7271    0.0456    0.0060
