 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.32200   5.13900  11.72000       625.80000         0.02700         0.01000          0.59304          0.58768
   0.80000  13.91800   4.35000         9.45000         0.10000         0.01500          0.04837          0.00884
   0.71900  12.84700   5.89000        23.74000         0.05800         0.01100          0.01575          0.02120
   0.64200  11.77700   7.43000        45.54000         0.04000         0.00900          0.04218          0.04300
   0.56900  10.70600   8.97000        78.76000         0.03600         0.00800          0.07810          0.07662
   0.50000   9.63500  10.51000       129.60000         0.03000         0.00800          0.12607          0.12370
   0.43400   8.56500  12.05000       193.90000         0.03000         0.00800          0.18392          0.18573
   0.37100   7.49400  13.59000       263.00000         0.03200         0.00900          0.25562          0.26470
   0.54700  12.83900  11.52000        56.64000         0.04200         0.00800          0.06095          0.05554
   0.48200  11.55500  13.27000        92.29000         0.04100         0.00800          0.08453          0.08685
   0.42100  10.27100  15.03000       125.10000         0.05700         0.00800          0.12613          0.12813
   0.42700   1.73800   3.22000    765700.00000         0.01800         0.01000        780.58277        775.26889
   0.37600   1.71300   3.72000    779700.00000         0.01800         0.01000        780.21270        789.63634
   0.32800   1.68300   4.32000    775600.00000         0.01800         0.01000        775.92944        779.70495
   0.27900   1.64300   5.12000    742500.00000         0.01800         0.01100        715.79896        744.85570
   0.23600   1.59800   6.04000    701200.00000         0.01800         0.01100        677.49383        693.42038
   0.17400   1.50000   7.98000    599500.00000         0.01800         0.01100        572.82713        587.71248
   0.12400   1.37600  10.56000    490400.00000         0.01900         0.01000        468.99123        477.81904
   0.10200   1.29200  12.25000    434200.00000         0.01900         0.01000        412.41643        424.05259
   0.08400   1.20300  14.06000    391800.00000         0.01900         0.01000        363.91011        378.52549
   0.06800   1.10700  16.00000    350400.00000         0.01900         0.01000        322.04887        340.45434
   0.37300   1.40400   3.24000   1199000.00000         0.01900         0.01000       1251.15296       1205.02232
   0.32200   1.37900   3.79000   1176000.00000         0.01800         0.01000       1147.21508       1176.12877
   0.27300   1.34800   4.48000   1110000.00000         0.01800         0.01100       1074.65535       1106.74867
   0.22100   1.30300   5.48000    997600.00000         0.01800         0.01100        953.32531        993.29875
   0.17200   1.24000   6.84000    873700.00000         0.01800         0.01100        836.53102        853.78742
   0.12400   1.14700   9.00000    696000.00000         0.01900         0.01000        677.65276        684.79245
   0.10000   1.07700  10.56000    604600.00000         0.01800         0.01000        588.41835        596.04695
   0.08100   1.00200  12.25000    531800.00000         0.01800         0.01000        509.17692        522.11516
   0.06500   0.92100  14.06000    473800.00000         0.01800         0.01000        448.85078        461.69664
   0.31600   1.10200   3.26000   1843000.00000         0.01900         0.01100       1840.66501       1857.05218
   0.26600   1.07800   3.86000   1718000.00000         0.01900         0.01200       1727.51061       1722.12236
   0.21700   1.04600   4.65000   1533000.00000         0.01800         0.01200       1462.83327       1531.50064
   0.16700   0.99700   5.87000   1294000.00000         0.01800         0.01100       1247.84688       1278.97770
   0.12400   0.93400   7.47000   1069000.00000         0.01900         0.01100       1018.59559       1034.27774
   0.09700   0.87400   9.00000    871100.00000         0.02000         0.01100        858.16910        867.66257
   0.07700   0.81100  10.56000    767800.00000         0.01900         0.01100        741.11117        742.92085
   0.22800   0.71600   3.30000   3446000.00000         0.01900         0.01300       3349.70695       3427.84096
   0.18100   0.69200   4.02000   2919000.00000         0.01900         0.01300       2900.71920       2886.15232
   0.13600   0.65800   5.06000   2296000.00000         0.01900         0.01200       2205.57822       2295.62874
   0.10200   0.61700   6.30000   1819000.00000         0.01900         0.01300       1784.93117       1816.27027
