 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
1.0   0.29700   4.84500  12.34849      0.86200      0.03080      0.00500          1.64024          0.82970          0.47393          0.28894          0.24388          0.29394
1.0   0.25100   4.44600  14.14750      0.86550      0.03370      0.00500          1.65151          0.85141          0.51957          0.31460          0.27181          0.31925
1.0   0.20800   4.00300  16.12255      0.89780      0.03270      0.00500          1.67613          0.87361          0.56106          0.33473          0.29453          0.33715
1.0   0.17800   3.64900  17.73135      0.89480      0.03370      0.00500          1.72656          0.89018          0.59762          0.34613          0.30746          0.34539
1.0   0.15000   3.26500  19.38202      0.91810      0.03470      0.00500          1.76955          0.90634          0.62706          0.35436          0.31654          0.34925
1.0   0.12200   2.85100  21.39821      0.93350      0.03470      0.00500          1.77335          0.92302          0.63788          0.35970          0.32197          0.34883
1.0   0.09900   2.43800  23.06862      0.84920      0.03670      0.00500          1.75276          0.93689          0.63216          0.36067          0.32247          0.34420
1.0   0.07700   2.00900  24.96226      0.88930      0.04070      0.00500          1.70749          0.95015          0.61022          0.35738          0.31838          0.33509
1.0   0.76900   8.08200   3.30811      0.71320      0.05650      0.00500          1.41573          0.73926          0.03435          0.02426          0.01819          0.02461
1.0   0.71400   7.90600   4.04718      0.75040      0.04070      0.00500          1.39389          0.72337          0.05499          0.03945          0.02893          0.03999
1.0   0.64500   7.65600   5.09412      0.72020      0.02980      0.00500          1.40752          0.72292          0.09125          0.06483          0.04827          0.06677
1.0   0.57100   7.34800   6.40101      0.72320      0.02880      0.00500          1.43979          0.73567          0.14771          0.10259          0.07716          0.10488
1.0   0.50800   7.03700   7.69572      0.73710      0.02880      0.00500          1.48983          0.75216          0.21162          0.14204          0.10852          0.14428
1.0   0.44700   6.69100   9.15803      0.76430      0.02880      0.00500          1.53932          0.77120          0.28316          0.18395          0.14413          0.18689
1.0   0.39300   6.32800  10.65414      0.78670      0.02980      0.00500          1.59431          0.79025          0.35342          0.22167          0.17887          0.22635
1.0   0.34100   5.93100  12.34232      0.80750      0.02980      0.00500          1.60262          0.81064          0.41280          0.25758          0.21369          0.26360
1.0   0.29300   5.49800  14.14686      0.82480      0.02980      0.00500          1.63479          0.83148          0.47145          0.28839          0.24546          0.29521
1.0   0.24800   5.03200  16.13868      0.84960      0.02980      0.00500          1.63132          0.85297          0.51249          0.31416          0.27327          0.32037
1.0   0.21500   4.63400  17.79984      0.91160      0.03080      0.00500          1.64579          0.87001          0.54429          0.33072          0.29142          0.33496
1.0   0.18500   4.21900  19.46676      0.95330      0.03080      0.00500          1.69208          0.88641          0.58158          0.34371          0.30548          0.34463
1.0   0.15700   3.80400  21.30565      0.88830      0.03170      0.00500          1.74098          0.90244          0.61579          0.35370          0.31590          0.35005
1.0   0.13100   3.35500  23.13604      0.98700      0.03270      0.00500          1.76257          0.91780          0.63555          0.36058          0.32248          0.35136
1.0   0.10700   2.88800  24.98301      0.91560      0.02980      0.00500          1.75146          0.93218          0.63758          0.36403          0.32508          0.34873
1.0   0.08300   2.38600  27.24134      0.94290      0.03470      0.00500          1.72675          0.94655          0.62765          0.36349          0.32326          0.34151
